ZipCode,Population,HouseholdsPerZipCode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PopulationEstimate,LandArea,WaterArea,BoxCount,SFDU,MFDU,MarketRatingAreaID,CityType_B,CityType_C,CityType_N,CityType_P,CityType_U,CityType_Z,CityDeliveryIndicator_N,CityDeliveryIndicator_Y,MedicareCBSAType_Metro,MedicareCBSAType_Micro,UBS_Open_Branch
83422,3392,1208,2888,14,646,25,9,28,472,1757,1635,2.8,236700,51087,32.8,33.6,32.0,240,1341,10125,48893,0,0,0,0,0.0,31464,0,1064,137,2439,2979,134.469,0.222,1030,729,0,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
24555,2140,916,1867,246,41,6,1,25,31,1037,1103,2.34,119500,47537,44.7,44.2,45.2,28,835,8568,32232,0,0,0,0,0.0,0,0,770,20,1009,1801,23.262,0.297,201,738,32,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14809,2552,967,2503,23,53,10,2,30,20,1302,1250,2.6,82300,42262,40.4,40.3,40.4,42,194,1132,5125,0,0,0,0,0.0,98990,0,795,24,1102,2067,55.734,0.128,244,795,0,6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44055,19846,7378,13650,3972,7719,83,36,390,2954,9524,10322,2.68,67300,30541,34.2,32.6,35.8,194,2938,28593,115535,0,0,0,0,0.0,2077240,0,7662,337,8506,20534,6.6370000000000005,0.029,91,6739,445,11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
52646,376,132,364,13,9,0,0,1,6,193,183,2.85,132500,45750,33.2,30.5,34.5,5,0,0,0,0,0,0,0,0.0,0,0,101,0,245,287,54.183,5.665,72,101,0,5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38774,2522,919,189,2304,41,3,1,6,29,1123,1399,2.74,62300,23603,31.3,26.4,36.5,27,207,1377,6336,0,0,0,0,0.0,34145,0,200,2,921,548,74.514,0.222,675,101,99,6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
96786,40859,11840,19182,4170,6063,17613,8318,1412,2340,20432,20427,3.31,494900,56782,26.6,26.0,27.3,324,4004,32298,132612,0,0,0,0,0.0,0,0,12821,399,14501,42437,82.00399999999998,0.4,1103,5160,1421,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44303,7700,3660,6238,1230,119,266,6,42,52,3730,3970,2.01,146400,51769,43.2,41.0,45.4,178,2864,22393,98196,0,0,0,0,0.0,703200,0,3746,217,3963,7529,2.3080000000000003,0.0,0,2532,1210,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5408,10114,4120,9276,453,184,458,13,78,65,4755,5359,2.38,230400,65246,42.0,39.6,44.1,87,1130,9052,21867,0,0,0,0,0.0,211261,0,4439,85,4648,10564,4.22,0.276,78,3049,325,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28573,2176,899,1374,791,36,7,0,23,14,1037,1139,2.35,108600,36034,47.0,44.7,48.3,38,415,2947,13098,0,0,0,0,0.0,126802,0,834,24,1112,1959,74.75399999999998,0.892,159,795,0,16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58324,1345,615,1314,5,6,0,0,39,2,651,694,2.12,75300,51184,50.1,48.5,52.1,56,338,2389,10233,0,0,0,0,0.0,0,0,370,15,741,784,244.114,4.628,283,294,76,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27973,1323,490,1207,70,61,11,0,20,39,645,678,2.7,215300,43250,39.9,39.4,40.5,18,73,659,2476,0,0,0,0,0.0,1671683,0,554,6,647,1495,37.636,0.06,69,551,0,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73032,222,88,193,0,3,0,0,48,1,107,115,2.52,64600,45938,40.3,39.5,40.8,7,138,580,2418,0,0,0,0,0.0,0,0,0,0,85,0,2.035,0.031,79,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
18370,1096,442,929,92,121,22,10,5,59,558,538,2.48,170800,61386,45.3,45.0,45.7,37,0,0,0,0,0,0,0,0.0,169842,0,291,18,1482,721,5.212999999999999,0.036000000000000004,212,139,21,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56590,373,164,370,4,3,1,0,1,0,191,182,2.27,85300,48214,47.3,47.3,47.3,10,29,136,735,0,0,0,0,0.0,0,0,105,3,182,238,77.366,2.021,62,105,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
73145,2859,583,2279,388,361,163,45,81,126,1782,1077,3.24,0,60114,21.8,21.8,21.9,86,1597,22964,93828,0,0,0,0,0.0,1252987,0,802,13,1027,2598,5.8260000000000005,0.0,179,61,93,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
91505,30778,13180,23695,1166,8077,3796,94,446,3196,15121,15657,2.33,594400,80389,38.9,38.2,39.6,1746,30978,530242,2169629,0,0,0,0,0.0,0,9818605,13734,1747,16348,32000,5.04,0.003,0,9552,4093,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78214,23341,7548,17463,334,21536,117,27,357,5728,11544,11797,3.07,66600,31728,32.8,31.4,34.4,301,4448,28107,117316,0,0,0,0,0.0,2142508,0,7928,625,9995,24338,13.411,0.171,495,6396,1053,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20653,24481,9194,15847,7480,1623,1376,70,373,676,12053,12428,2.61,252200,70824,30.6,30.4,30.8,390,8864,141504,598752,0,0,0,0,0.0,0,0,9556,514,11339,24941,32.527,3.569,468,4035,883,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
39347,1497,641,621,869,18,0,0,7,13,714,783,2.34,90100,27396,44.8,44.6,45.0,19,94,633,2765,0,0,0,0,0.0,107449,0,580,12,774,1357,72.301,0.126,133,409,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53122,5985,2346,5764,41,118,191,10,14,24,2754,3231,2.49,355000,119512,48.6,47.2,49.7,247,3051,34668,141322,0,0,0,0,0.0,1555908,0,2562,302,3948,6379,3.2710000000000004,0.018000000000000002,147,2180,290,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
64862,3337,1278,3251,23,50,15,3,87,23,1635,1702,2.59,89600,37500,38.2,37.0,40.1,40,283,2188,7652,0,0,0,0,0.0,175518,0,1170,22,1457,3030,83.73100000000002,0.614,218,1141,0,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42411,1656,697,1634,22,7,0,0,1,3,838,818,2.38,90500,48750,45.9,46.0,45.8,24,183,1560,7262,0,0,0,0,0.0,0,0,670,32,847,1594,86.95100000000002,0.5710000000000001,77,670,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
70395,4658,1635,3857,655,125,24,1,144,38,2313,2345,2.84,118000,57439,37.9,37.4,38.5,82,1063,13657,55471,0,0,0,0,0.0,208178,0,1906,63,2408,5413,48.972,0.08199999999999999,298,1859,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
98247,9072,3079,7515,90,1626,250,43,603,1027,4537,4535,2.94,256600,55643,34.8,34.5,35.2,210,1567,12096,56948,0,0,0,0,0.0,201140,0,2794,73,3377,8214,63.702,1.1740000000000002,389,2517,54,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4444,8824,3488,8638,72,93,95,2,80,30,4393,4431,2.52,193800,76379,41.0,40.0,42.1,217,2018,19357,84553,0,0,0,0,0.0,153923,0,3651,130,4101,9200,69.045,0.925,265,3363,58,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8203,9454,4296,8416,361,650,520,14,73,301,4616,4838,2.2,344000,62303,48.4,47.5,49.2,175,1346,8640,38550,0,0,0,0,0.0,274549,0,6086,168,6575,13389,6.455,6.892,210,4639,285,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27573,11414,4740,6050,4884,857,63,15,123,531,5208,6206,2.33,114400,27948,40.6,37.7,43.2,458,6246,48686,204457,0,0,0,0,0.0,504357,0,4815,552,6290,11218,17.805,0.043,661,3693,70,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
80832,666,271,652,11,29,6,4,7,10,335,331,2.46,159700,46471,44.6,45.1,44.2,7,13,138,851,0,0,0,0,0.0,645613,0,276,0,5569,678,239.193,0.038,74,276,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25164,1257,496,1250,2,3,1,0,5,0,614,643,2.53,101600,36125,41.1,43.3,39.2,7,40,490,2342,0,0,0,0,0.0,304284,0,573,1,655,1449,30.277,0.456,76,573,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60071,3598,1527,3454,38,214,48,2,29,79,1784,1814,2.36,203400,52429,41.6,40.6,42.3,157,1691,16399,76490,0,0,0,0,0.0,9461105,7262718,1653,127,2802,3901,25.964,0.159,163,1117,439,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57038,1667,628,1650,18,27,9,2,5,10,871,796,2.65,157600,73188,40.2,39.4,40.7,28,185,1493,7187,0,0,0,0,0.0,143577,0,558,6,703,1478,53.424,2.524,124,558,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11576,12366,4429,10162,142,610,2060,7,16,216,6026,6340,2.79,902300,157057,46.4,45.7,47.1,523,7579,132509,569027,0,0,0,0,0.0,18897109,2832882,4540,286,4973,12666,4.549,0.281,79,3847,326,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12442,953,477,925,18,54,17,0,2,14,496,457,2.0,258900,28125,50.6,51.4,49.8,47,969,3910,12459,0,0,0,0,0.0,0,0,101,3,706,202,33.174,0.081,523,101,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33708,15447,8219,14969,205,596,229,22,113,124,7505,7942,1.88,255300,54935,56.3,55.4,57.1,549,4311,24336,107646,0,0,0,0,0.0,2783243,0,10593,600,11355,19914,3.411,4.655,0,5875,4205,52,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85256,4974,1539,784,39,776,29,22,4171,144,2367,2607,3.23,83200,32349,29.5,27.5,31.4,67,5326,60239,230919,0,0,0,0,0.0,4192887,0,1827,68,3535,5901,33.011,0.843,0,947,704,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19804,17944,7259,14308,2007,2954,259,14,157,1596,8813,9131,2.47,191000,51937,39.5,37.5,41.5,574,8488,85056,379882,0,0,0,0,0.0,5965343,705670,7560,848,8851,18673,7.478,0.135,152,6404,733,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
98602,200,85,194,0,3,3,2,7,2,108,92,2.35,225000,45250,52.2,52.2,52.2,1,0,0,0,0,0,0,0,0.0,0,0,58,0,409,136,55.997,0.0,80,58,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7093,60884,23325,41129,3725,46057,4220,103,1285,13970,30116,30768,2.61,313300,50972,35.1,33.9,36.5,1097,8615,49500,217526,0,0,0,0,0.0,18897109,13866159,24028,1526,26371,62713,1.203,0.0,624,5332,18039,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
68379,59,28,58,0,1,0,0,1,1,30,29,2.11,72300,0,43.6,43.5,43.8,0,0,0,0,0,0,0,0,0.0,0,0,38,2,40,80,0.08800000000000001,0.0,0,38,0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
84742,260,99,251,2,9,5,5,4,0,133,127,2.63,0,64375,42.5,38.8,47.4,7,10,77,823,0,0,0,0,0.0,46163,0,227,24,2442,597,27.802,0.009000000000000001,0,0,227,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21804,38491,14937,27540,9321,2213,1321,51,258,1184,18043,20448,2.48,165400,47361,32.9,31.5,34.2,806,10793,100685,458192,0,0,0,0,0.0,125203,0,16749,953,17465,41537,74.291,0.54,0,10847,1868,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
99695,7,2,0,0,0,0,0,7,0,4,3,3.5,0,0,57.3,41.0,57.5,1,0,0,0,0,0,0,0,0.0,380821,0,0,0,2,0,4.1930000000000005,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7666,39776,13470,22159,11809,6575,4055,70,341,2886,18732,21044,2.88,387100,101128,39.3,37.5,40.8,999,18797,317423,1200889,0,0,0,0,0.0,18897109,13866159,13838,1045,16289,39853,6.006,0.22,328,11657,1518,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1515,2183,828,2150,16,51,16,0,22,12,1107,1076,2.64,236100,80714,41.7,41.7,41.7,43,451,3181,13927,0,0,0,0,0.0,798552,0,662,20,2025,1747,9.851,0.5529999999999999,299,561,0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48849,5717,2229,5522,34,315,64,1,61,151,2819,2898,2.56,117600,51171,40.2,39.2,41.0,115,1297,11241,48854,0,0,0,0,0.0,0,0,2402,119,2660,6149,82.9,1.055,44,2322,80,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
90743,456,187,422,0,45,23,7,1,19,238,218,2.44,0,109028,45.2,45.1,45.3,11,116,558,2324,0,0,0,0,0.0,0,3010232,0,0,296,0,0.083,0.436,280,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
49779,4639,2125,4549,44,32,23,1,64,8,2287,2352,2.11,81400,40201,51.9,51.5,52.4,159,1144,7579,33523,0,0,0,0,0.0,0,0,2237,175,2545,4720,120.673,22.881,84,2083,154,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
92252,9647,4070,8562,415,1591,246,53,338,607,4836,4811,2.33,117900,35449,40.7,39.4,42.1,95,1664,16883,68484,0,0,0,0,0.0,4224851,0,3657,105,9751,8520,89.90899999999998,0.0,1056,3157,38,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
48821,5836,2431,5519,169,219,117,7,75,81,2835,3001,2.34,162100,61982,50.1,48.8,50.8,79,964,5978,30275,0,0,0,0,0.0,464036,0,2370,36,3117,5545,21.198,0.402,217,1926,393,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41015,20864,8203,20073,750,330,165,27,153,201,10184,10680,2.52,113200,48175,38.5,36.6,40.1,318,7749,119888,501687,0,0,0,0,0.0,2130151,0,8868,339,9502,22347,25.447,0.665,127,7265,844,6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11762,22360,7510,21708,124,1008,471,11,46,189,10900,11460,2.97,443200,121469,42.4,40.9,43.7,447,3572,22707,101474,0,0,0,0,0.0,18897109,2832882,7471,298,8053,22188,3.085,0.052000000000000005,162,7349,0,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
63785,1000,382,992,5,5,2,0,8,0,528,472,2.62,116200,42188,41.6,40.9,42.3,8,40,286,1269,0,0,0,0,0.0,96275,0,398,1,424,1042,48.117,0.241,21,398,0,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
68789,176,80,171,0,0,0,0,5,0,96,80,2.2,0,61875,51.0,50.2,52.0,3,0,0,0,0,0,0,0,0.0,0,0,46,0,190,101,43.923,0.03,0,46,0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68348,256,116,251,1,5,0,0,3,2,124,132,2.21,212000,58826,48.9,48.8,49.3,12,37,338,1443,0,0,0,0,0.0,0,0,80,1,345,176,39.051,0.048,50,80,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35204,10337,4580,368,9591,605,24,12,32,401,4923,5414,2.23,63100,20371,41.7,37.5,45.3,182,5431,32317,144362,0,0,0,0,0.0,1128047,0,4811,435,5602,10728,4.863,0.0,0,4514,274,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56225,834,348,830,7,7,0,0,1,3,406,428,2.39,87200,45417,45.1,43.3,46.3,23,151,745,3693,0,0,0,0,0.0,0,0,171,9,353,408,106.76,4.079,158,171,0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2420,14052,5062,11077,241,306,2948,6,37,117,6686,7366,2.71,746100,156042,46.3,45.4,47.2,500,4682,56077,238766,0,0,0,0,0.0,4552402,2246244,5430,534,7041,14715,6.584,0.049,195,4976,312,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
64093,27608,10093,24992,1924,782,819,84,368,268,13778,13830,2.43,150900,43440,26.1,25.8,26.7,595,7882,50958,215510,0,0,0,0,0.0,52595,0,11270,733,12522,27386,186.968,0.6809999999999999,386,8249,423,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13691,3176,1163,3086,76,62,25,0,55,25,1616,1560,2.73,125700,60769,36.2,36.3,36.1,31,127,1279,6262,0,0,0,0,0.0,116229,0,1113,19,1311,3038,72.225,3.374,138,1034,79,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99709,29830,12270,25020,1264,1449,1449,189,3708,495,15586,14244,2.4,239300,83580,34.5,34.0,35.0,678,6319,66352,303066,0,0,0,0,0.0,97581,0,9951,672,10585,23882,507.242,7.943,0,6962,1274,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
64129,9486,3902,4969,4152,988,98,23,195,528,4504,4982,2.38,72400,35540,36.1,34.6,37.4,184,8208,119717,711223,0,0,0,0,0.0,2035334,0,3903,266,4472,9289,10.424,0.012,0,2993,0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81120,2267,933,1641,26,1720,8,7,98,601,1143,1124,2.4,94600,28284,44.4,44.1,44.8,41,224,1637,8304,0,0,0,0,0.0,0,0,567,8,1169,1360,872.086,3.275,553,356,0,8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61320,710,301,690,9,26,7,2,3,9,346,364,2.36,129300,55313,43.7,43.8,43.6,3,0,0,0,0,0,0,0,0.0,154908,0,256,2,315,604,0.935,0.0,55,256,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23321,33653,12120,21428,11060,1028,1413,88,388,421,15947,17706,2.78,249000,68852,38.4,36.8,39.6,729,10723,83652,345731,0,0,0,0,0.0,1671683,0,13822,713,25951,38425,26.335,0.496,289,9840,824,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30475,52,21,50,2,2,0,0,0,0,24,28,2.48,0,0,48.5,45.5,49.0,35,611,5047,21902,0,0,0,0,0.0,36346,0,0,0,1820,0,0.093,0.0,904,0,0,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
31643,8709,3367,4465,3937,478,51,11,75,296,4217,4492,2.59,85800,32069,39.0,36.9,41.0,153,1740,12985,55707,0,0,0,0,0.0,139588,0,3438,210,4156,8904,262.625,2.112,291,3031,95,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78585,396,131,393,0,379,0,0,0,5,193,203,3.02,37400,13105,32.8,31.4,35.8,0,0,0,0,0,0,0,0,0.0,60968,0,0,0,3147,0,10.104,0.318,73,0,0,26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
57640,176,80,174,0,1,0,0,4,0,98,78,2.2,145000,80398,53.4,52.0,56.0,2,0,0,0,0,0,0,0,0.0,0,0,47,0,47,103,398.686,0.755,0,47,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40516,2877,1168,2371,460,183,17,1,28,66,1421,1456,2.41,164400,64375,41.6,40.3,42.9,40,253,2120,9412,0,0,0,0,0.0,472099,0,1132,36,5947,2728,35.22400000000001,0.105,0,976,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
34661,297,125,292,2,16,10,0,2,9,140,157,2.38,44200,0,46.8,48.5,45.6,1,0,0,0,0,0,0,0,0.0,2783243,0,0,0,244,0,2.679,0.175,236,0,0,26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
72433,3067,1235,3032,33,40,5,5,42,12,1497,1570,2.47,62000,27895,37.9,36.3,39.7,34,240,1661,7321,0,0,0,0,0.0,0,0,1155,49,1317,2852,55.99800000000001,0.5489999999999999,76,1101,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
48097,5499,1932,5383,68,147,13,4,75,54,2742,2757,2.78,106300,47117,38.7,37.5,39.8,94,982,6293,27821,0,0,0,0,0.0,4296250,2475666,2056,106,2270,5715,76.252,0.557,54,1898,123,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
62958,2262,965,2091,98,67,76,4,21,23,1179,1083,2.34,151100,49950,42.1,41.3,42.8,20,147,557,3196,0,0,0,0,0.0,60218,0,1022,23,1117,2391,45.812,2.392,51,1022,0,13,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49918,120,64,120,0,0,0,0,3,0,65,55,1.88,257100,34375,56.0,59.1,53.5,22,51,181,2302,0,0,0,0,0.0,38784,0,0,0,131,0,47.145,24.23,0,0,0,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
94575,974,1,686,128,213,111,19,21,89,391,583,1.0,0,0,19.6,19.8,19.6,5,141,741,3063,0,0,0,0,0.0,4335391,2559296,0,2,313,0,0.16699999999999998,0.009000000000000001,0,0,0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36722,472,172,144,328,4,0,0,5,0,231,241,2.74,87400,29125,35.3,36.1,33.9,5,0,0,0,0,0,0,0,0.0,0,0,132,2,204,361,32.213,0.02,62,132,0,13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
57470,143,64,143,0,0,0,0,0,0,77,66,2.23,58000,64375,51.4,51.5,51.0,0,0,0,0,0,0,0,0,0.0,0,0,64,0,118,142,150.423,1.181,0,64,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37096,5503,2210,5329,156,68,20,0,80,13,2757,2746,2.43,81700,32409,44.6,43.3,45.7,79,1117,7164,31705,0,0,0,0,0.0,0,0,2429,70,2923,5902,296.499,5.357,316,2380,0,8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
66717,497,210,489,0,2,0,0,12,0,257,240,2.37,37900,48750,47.3,47.6,47.0,1,0,0,0,0,0,0,0,0.0,0,0,167,6,233,395,52.8,0.425,53,167,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
55433,33613,13265,29676,2510,1208,1419,41,603,598,16167,17446,2.52,162900,61332,36.4,34.7,38.1,704,16291,193722,809219,0,0,0,0,0.0,3279833,0,13966,622,15675,35194,11.614,0.557,0,8207,3182,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59077,79,33,79,0,0,0,0,0,0,43,36,2.39,270000,86250,44.8,44.8,45.0,0,0,0,0,0,0,0,0,0.0,0,0,21,0,45,50,544.6569999999998,0.463,11,21,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
77014,28684,9596,7602,13896,9888,3040,62,269,4785,13735,14949,2.99,128800,43207,29.1,27.9,30.0,421,3598,40689,170032,0,0,0,0,0.0,5946800,0,11825,760,12675,35356,7.1560000000000015,0.041,0,1168,5495,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24377,348,150,348,0,1,0,0,4,0,173,175,2.32,107500,60577,49.5,49.4,49.6,2,0,0,0,0,0,0,0,0.0,107342,0,135,1,136,313,35.322,0.031,0,135,0,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13042,2356,920,2317,12,13,15,0,30,4,1204,1152,2.56,90400,58241,43.2,43.3,43.1,22,123,637,2499,0,0,0,0,0.0,662577,0,873,8,1190,2234,33.513000000000005,0.359,167,846,0,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87035,7268,2768,5782,156,2658,52,8,307,1300,3683,3585,2.62,103000,32152,39.2,39.4,39.1,127,967,6111,27474,0,0,0,0,0.0,887077,0,1041,1,2937,2727,219.451,0.004,1662,204,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63555,3201,1277,3182,11,14,2,0,22,5,1518,1683,2.45,73300,42375,40.0,37.2,42.5,113,780,5805,23650,0,0,0,0,0.0,0,0,1322,150,1633,3238,198.337,1.616,22,1260,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8854,55961,17026,22700,12277,6271,19700,97,487,2791,27876,28085,2.9,310900,89244,33.0,31.6,34.3,1242,31135,577593,2318549,0,0,0,0,0.0,18897109,13866159,18287,1081,19604,53032,18.829,0.194,0,14203,333,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7457,3559,1547,3259,63,256,220,3,18,74,1743,1816,2.3,330400,97045,40.0,38.0,41.5,212,3131,25512,115417,0,0,0,0,0.0,18897109,2471171,1981,206,2229,4556,2.015,0.07200000000000001,45,897,768,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5454,4447,1656,4382,21,58,28,5,38,6,2206,2241,2.69,238700,73151,38.9,39.2,38.6,75,764,6668,30253,0,0,0,0,0.0,211261,0,1825,45,2105,4909,47.39100000000001,1.291,205,1633,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
